abnormal adipose tissue morphology|adipose tissue phenotype
abnormal nasolacrimal duct morphology|abnormal lacrimal apparatus morphology
choanal atresia|abnormal internal nares morphology
abnormal ethmoturbinate morphology|abnormal ethmoidal bone morphology
abnormal ethmoturbinate morphology|abnormal turbinate morphology
ethmoturbinate hypoplasia|abnormal ethmoturbinate morphology
decreased erythroid progenitor cell number|abnormal erythroid progenitor cell morphology
proportional dwarf|decreased body size
delayed male fertility|delayed fertility
delayed female fertility|delayed fertility
abnormal vagina size|abnormal vagina morphology
abnormal vagina weight|abnormal vagina size
increased vagina weight|abnormal vagina weight
increased vagina weight|enlarged vagina
decreased vagina weight|small vagina
decreased vagina weight|abnormal vagina weight
enlarged vagina|abnormal vagina size
vagina hyperplasia|enlarged vagina
small vagina|abnormal vagina size
vagina hypoplasia|small vagina
hemimelia|abnormal limb morphology
abnormal liver parenchyma morphology|abnormal liver morphology
abnormal liver lobule morphology|abnormal liver parenchyma morphology
abnormal liver perisinusoidal space morphology|abnormal liver lobule morphology
abnormal liver sinusoid morphology|abnormal liver lobule morphology
abnormal liver sinusoid morphology|abnormal liver vasculature morphology
abnormal ito cell morphology|abnormal liver perisinusoidal space morphology
abnormal bile canaliculus morphology|abnormal liver lobule morphology
abnormal portal lobule morphology|abnormal liver parenchyma morphology
abnormal portal triad morphology|abnormal portal lobule morphology
early vaginal opening|abnormal timing of vaginal opening
early reproductive senescence|premature aging
early reproductive senescence|abnormal fertility/fecundity
abnormal blood osmolality|abnormal blood homeostasis
increased blood osmolality|abnormal blood osmolality
decreased blood osmolality|abnormal blood osmolality
absent anus|abnormal anus morphology
absent cecum|abnormal cecum morphology
absent hallux|abnormal hallux morphology
absent hallux|oligodactyly
premature hair regrowth|abnormal hair growth
abnormal vibrissa number|abnormal vibrissa morphology
progressive hair loss|abnormal hair growth
abnormal sesamoid bone of gastrocnemius morphology|abnormal limb bone morphology
prolonged estrous cycle|abnormal estrous cycle
short estrous cycle|abnormal estrous cycle
delayed estrous cycle|abnormal estrous cycle
absent estrous cycle|abnormal estrous cycle
abnormal diestrus|abnormal estrous cycle
prolonged diestrus|abnormal diestrus
short diestrus|abnormal diestrus
abnormal proestrus|abnormal estrous cycle
prolonged proestrus|abnormal proestrus
short proestrus|abnormal proestrus
abnormal estrus|abnormal estrous cycle
prolonged estrus|abnormal estrus
short estrus|abnormal estrus
abnormal metestrus|abnormal estrous cycle
prolonged metestrus|abnormal metestrus
absent estrus|abnormal estrus
abnormal brain meninges morphology|abnormal meninges morphology
abnormal spinal cord meninges morphology|abnormal meninges morphology
abnormal brain arachnoid mater morphology|abnormal brain meninges morphology
abnormal brain dura mater morphology|abnormal brain meninges morphology
abnormal brain pia mater morphology|abnormal brain meninges morphology
abnormal subarachnoid space morphology|abnormal meninges morphology
abnormal chiasmatic cistern morphology|abnormal subarachnoid cistern morphology
abnormal basal cistern morphology|abnormal subarachnoid cistern morphology
abnormal pontine cistern morphology|abnormal subarachnoid cistern morphology
abnormal cerebellomedullary cistern morphology|abnormal subarachnoid cistern morphology
abnormal subarachnoid cistern morphology|abnormal subarachnoid space morphology
abnormal posterior cerebellomedullary cistern|abnormal cerebellomedullary cistern morphology
abnormal lateral cerebellomedullary cistern morphology|abnormal cerebellomedullary cistern morphology
abnormal quadrigeminal cistern morphology|abnormal subarachnoid cistern morphology
absent posterior cerebellomedullary cistern|abnormal posterior cerebellomedullary cistern
abnormal subarachnoid space development|abnormal subarachnoid space morphology
decreased inferior colliculus size|abnormal inferior colliculus morphology
absent inferior colliculus|abnormal inferior colliculus morphology
absent superior colliculus|abnormal superior colliculus morphology
absent colliculi|abnormal corpora quadrigemina morphology
pilar cyst|abnormal skin condition
increased pancreas adenoma incidence|increased pancreas tumor incidence
increased pancreas adenoma incidence|increased adenoma incidence
increased adrenal gland adenoma incidence|increased adenoma incidence
increased adrenal gland adenoma incidence|increased adrenal gland tumor incidence
muscle tetany|muscle spasm
muscle twitch|abnormal muscle physiology
short metestrus|abnormal metestrus
enlarged tectum|abnormal tectum morphology
abnormal hallux morphology|abnormal digit morphology
dilated proximal convoluted tubules|abnormal proximal convoluted tubule morphology
dilated proximal convoluted tubules|dilated renal tubules
dilated distal convoluted tubules|dilated renal tubules
dilated distal convoluted tubules|abnormal distal convoluted tubule morphology
anal stenosis|abnormal anus morphology
abnormal anal canal morphology|abnormal digestive system morphology
absent anal canal|abnormal anal canal morphology
abnormal internal anal sphincter morphology|abnormal anal canal morphology
abnormal internal anal sphincter morphology|abnormal smooth muscle morphology
abnormal interleukin-21 secretion|abnormal interleukin secretion
increased interleukin-21 secretion|abnormal interleukin-21 secretion
decreased interleukin-21 secretion|abnormal interleukin-21 secretion
abnormal circulating interleukin-21 level|abnormal circulating interleukin level
increased circulating interleukin-21 level|abnormal circulating interleukin-21 level
decreased circulating interleukin-21 level|abnormal circulating interleukin-21 level
impaired lectin complement pathway|abnormal complement pathway
abnormal oviduct size|abnormal oviduct morphology
oviduct atrophy|small oviduct
abnormal oviduct weight|abnormal oviduct size
decreased oviduct weight|abnormal oviduct weight
decreased oviduct weight|small oviduct
increased oviduct weight|abnormal oviduct weight
increased oviduct weight|enlarged oviduct
enlarged oviduct|abnormal oviduct size
dilated oviduct|abnormal oviduct size
small oviduct|abnormal oviduct size
short oviduct|small oviduct
absent cranial vagina|abnormal cranial vagina morphology
absent wolffian ducts|abnormal wolffian duct morphology
wolffian duct degeneration|abnormal wolffian duct morphology
rudimentary wolffian ducts|abnormal wolffian duct morphology
rudimentary mullerian ducts|abnormal mullerian duct morphology
abnormal cranial vagina morphology|abnormal vagina morphology
adrenal gland hyperplasia|enlarged adrenal glands
prolapsed intervertebral disk|abnormal intervertebral disk morphology
uterus inflammation|abnormal uterus physiology
uterus inflammation|reproductive system inflammation
thin uterus|small uterus
uterus cysts|abnormal uterus morphology
uterus hypertrophy|enlarged uterus
blind uterus|abnormal uterus morphology
abnormal uterine horn morphology|abnormal uterus morphology
blind uterine horn|abnormal uterine horn morphology
dilated uterine horn|abnormal uterine horn morphology
thin uterine horn|abnormal uterine horn morphology
short uterine horn|abnormal uterine horn morphology
myometrium hypoplasia|abnormal myometrium morphology
endometrium hypoplasia|abnormal endometrium morphology
endometrium hyperplasia|abnormal endometrium morphology
oocyte degeneration|abnormal female germ cell morphology
abnormal endometrial gland morphology|abnormal endometrium morphology
abnormal endometrial gland morphology|abnormal exocrine gland morphology
abnormal endometrial gland morphology|abnormal female reproductive gland morphology
abnormal endometrial gland number|abnormal endometrial gland morphology
decreased endometrial gland number|abnormal endometrial gland number
absent endometrial glands|abnormal endometrial gland number
anovaginal fistula|abnormal anal canal morphology
anovaginal fistula|abnormal vagina morphology
abnormal uterine nk cell physiology|abnormal uterus physiology
abnormal uterine nk cell physiology|abnormal nk cell physiology
abnormal clitoris size|abnormal clitoris morphology
clitoris hypoplasia|small clitoris
abnormal glans penis morphology|abnormal penis morphology
abnormal penile bone morphology|abnormal glans penis morphology
small penile bone|abnormal penile bone morphology
penis prolapse|abnormal penis morphology
abnormal pancreas size|abnormal pancreas morphology
abnormal pancreas weight|abnormal pancreas size
increased pancreas weight|abnormal pancreas weight
increased pancreas weight|enlarged pancreas
decreased pancreas weight|small pancreas
decreased pancreas weight|abnormal pancreas weight
pancreas hyperplasia|enlarged pancreas
pancreas hypoplasia|small pancreas
abnormal pancreatic beta cell mass|abnormal pancreatic beta cell morphology
increased pancreatic beta cell mass|abnormal pancreatic beta cell mass
decreased pancreatic beta cell mass|abnormal pancreatic beta cell mass
abnormal fat cell morphology|abnormal adipose tissue morphology
abnormal brown fat cell morphology|abnormal fat cell morphology
abnormal brown fat cell morphology|abnormal brown adipose tissue morphology
abnormal white fat cell morphology|abnormal white adipose tissue morphology
abnormal white fat cell morphology|abnormal fat cell morphology
increased white fat cell size|abnormal white fat cell size
increased white fat cell size|increased fat cell size
increased brown fat cell size|increased fat cell size
increased brown fat cell size|abnormal brown fat cell size
abnormal white fat cell lipid droplet size|abnormal white fat cell morphology
increased white fat cell lipid droplet size|abnormal white fat cell lipid droplet size
decreased white fat cell lipid droplet size|abnormal white fat cell lipid droplet size
abnormal brown fat cell lipid droplet size|abnormal brown fat cell morphology
increased brown fat cell lipid droplet size|abnormal brown fat cell lipid droplet size
decreased brown fat cell lipid droplet size|abnormal brown fat cell lipid droplet size
abnormal brown fat cell number|abnormal brown fat cell morphology
increased brown fat cell number|abnormal brown fat cell number
decreased brown fat cell number|abnormal brown fat cell number
abnormal white fat cell number|abnormal white fat cell morphology
increased white fat cell number|abnormal white fat cell number
decreased white fat cell number|abnormal white fat cell number
abnormal white fat cell size|abnormal white fat cell morphology
decreased white fat cell size|abnormal white fat cell size
decreased white fat cell size|decreased fat cell size
abnormal brown fat lipid droplet number|abnormal brown fat cell morphology
abnormal brown fat cell size|abnormal brown fat cell morphology
decreased brown fat cell size|decreased fat cell size
decreased brown fat cell size|abnormal brown fat cell size
decreased brown fat lipid droplet number|abnormal brown fat lipid droplet number
increased brown fat lipid droplet number|abnormal brown fat lipid droplet number
failure of mullerian duct regression|abnormal mullerian duct morphology
dilated efferent ductules of testis|abnormal efferent ductules of testis morphology
increased prepulse inhibition|abnormal prepulse inhibition
decreased prepulse inhibition|abnormal prepulse inhibition
abnormal pancreatic duct morphology|abnormal exocrine pancreas morphology
dilated pancreatic duct|abnormal pancreatic duct morphology
abnormal pancreatic acinus morphology|abnormal exocrine pancreas morphology
abnormal pancreatic acinar cell morphology|abnormal pancreatic acinus morphology
abnormal pancreatic acinar cell physiology|abnormal exocrine pancreas physiology
pancreas necrosis|abnormal pancreas morphology
decreased pancreatic acinar cell number|abnormal pancreatic acinar cell morphology
pancreatic acinar cell atrophy|abnormal pancreatic acinar cell morphology
pancreatic acinar cell atrophy|pancreas atrophy
increased pancreatic ductal adenocarcinoma incidence|increased pancreas tumor incidence
increased pancreatic ductal adenocarcinoma incidence|increased adenocarcinoma incidence
increased pancreatic intraepithelial neoplasia incidence|increased pancreas tumor incidence
increased pancreas tumor incidence|increased gland tumor incidence
pancreatic acinar hypoplasia|abnormal pancreatic acinus morphology
pancreatic acinar hyperplasia|abnormal pancreatic acinus morphology
absent pancreatic acini|abnormal pancreatic acinus morphology
ectopic pancreatic acinar cells|abnormal pancreatic acinar cell morphology
absent pancreatic acinar cells|abnormal pancreatic acinar cell morphology
increased pancreatic acinar cell number|abnormal pancreatic acinar cell morphology
abnormal pancreatic acinar cell zymogen granule morphology|abnormal pancreatic acinar cell morphology
pancreatic acinar cell zymogen granule accumulation|abnormal pancreatic acinar cell zymogen granule morphology
absent pancreatic acinar cell zymogen granule|abnormal pancreatic acinar cell zymogen granule morphology
absent pancreatic duct|abnormal pancreatic duct morphology
exocrine pancreas atrophy|abnormal exocrine pancreas morphology
exocrine pancreas atrophy|pancreas atrophy
abnormal endocrine pancreas morphology|abnormal pancreas morphology
abnormal endocrine pancreas morphology|abnormal endocrine gland morphology
abnormal pancreatic islet number|abnormal pancreatic islet morphology
increased pancreatic islet number|abnormal pancreatic islet number
decreased pancreatic islet number|abnormal pancreatic islet number
pancreatic islet hypoplasia|small pancreatic islets
abnormal pancreatic islet size|abnormal pancreatic islet morphology
enlarged pancreatic islets|abnormal pancreatic islet size
small pancreatic islets|abnormal pancreatic islet size
absent pancreatic islets|abnormal pancreatic islet morphology
absent pancreatic beta cells|decreased pancreatic beta cell number
abnormal pancreatic beta cell differentiation|abnormal endocrine pancreas development
abnormal pancreatic beta cell differentiation|abnormal pancreatic beta cell morphology
abnormal pancreatic beta cell differentiation|abnormal cell differentiation
increased pancreatic alpha cell number|abnormal pancreatic alpha cell morphology
decreased pancreatic alpha cell number|abnormal pancreatic alpha cell morphology
absent pancreatic alpha cells|decreased pancreatic alpha cell number
abnormal pancreatic alpha cell differentiation|abnormal endocrine pancreas development
abnormal pancreatic alpha cell differentiation|abnormal cell differentiation
abnormal pancreatic alpha cell differentiation|abnormal pancreatic alpha cell morphology
increased pancreatic delta cell number|abnormal pancreatic delta cell morphology
decreased pancreatic delta cell number|abnormal pancreatic delta cell morphology
absent pancreatic delta cells|decreased pancreatic delta cell number
abnormal pancreatic delta cell differentiation|abnormal pancreatic delta cell morphology
abnormal pancreatic delta cell differentiation|abnormal endocrine pancreas development
abnormal pancreatic delta cell differentiation|abnormal cell differentiation
abnormal pp cell morphology|abnormal pancreatic islet morphology
increased pp cell number|abnormal pp cell morphology
decreased pp cell number|abnormal pp cell morphology
absent pp cells|decreased pp cell number
abnormal pp cell differentiation|abnormal pp cell morphology
abnormal pp cell differentiation|abnormal endocrine pancreas development
abnormal pp cell differentiation|abnormal cell differentiation
abnormal pancreatic epsilon cell morphology|abnormal pancreatic islet morphology
increased pancreatic epsilon cell number|abnormal pancreatic epsilon cell morphology
decreased pancreatic epsilon cell number|abnormal pancreatic epsilon cell morphology
absent pancreatic epsilon cells|decreased pancreatic epsilon cell number
abnormal pancreatic epsilon cell differentiation|abnormal pancreatic epsilon cell morphology
abnormal pancreatic epsilon cell differentiation|abnormal endocrine pancreas development
abnormal pancreatic epsilon cell differentiation|abnormal cell differentiation
abnormal pancreatic epsilon cell physiology|abnormal endocrine pancreas physiology
abnormal pp cell physiology|abnormal endocrine pancreas physiology
abnormal pancreatic ghrelin secretion|abnormal pancreatic epsilon cell physiology
abnormal pancreatic ghrelin secretion|abnormal pancreas secretion
abnormal pancreatic polypeptide secretion|abnormal pancreas secretion
abnormal pancreatic polypeptide secretion|abnormal pp cell physiology
abnormal male genitalia morphology|abnormal male reproductive system morphology
abnormal external male genitalia morphology|abnormal male genitalia morphology
enlarged external male genitalia|abnormal external male genitalia morphology
external male genitalia atrophy|small external male genitalia
small external male genitalia|abnormal external male genitalia morphology
external male genitalia hypoplasia|small external male genitalia
absent external male genitalia|abnormal external male genitalia morphology
abnormal internal male genitalia morphology|abnormal male genitalia morphology
absent internal male genitalia|abnormal internal male genitalia morphology
internal male genitalia hypoplasia|abnormal internal male genitalia morphology
abnormal female genitalia morphology|abnormal female reproductive system morphology
abnormal internal female genitalia morphology|abnormal female genitalia morphology
absent internal female genitalia|abnormal internal female genitalia morphology
absent external female genitalia|abnormal external female genitalia morphology
vulva atrophy|small vulva
absent male inguinal canal|abnormal male inguinal canal morphology
vas deferens hypoplasia|abnormal vas deferens morphology
absent uterine horn|abnormal uterine horn morphology
abnormal peritoneum morphology|abnormal abdominal wall morphology
abnormal peritoneal vaginal process morphology|abnormal peritoneum morphology
absent peritoneal vaginal process|abnormal peritoneal vaginal process morphology
increased prostate intraepithelial neoplasia incidence|increased prostate gland tumor incidence
increased prostate gland adenocarcinoma incidence|increased prostate gland tumor incidence
increased prostate gland adenocarcinoma incidence|increased adenocarcinoma incidence
uterus adenomyosis|abnormal uterus morphology
increased uterus tumor incidence|increased reproductive system tumor incidence
increased uterus carcinoma incidence|increased carcinoma incidence
increased uterus carcinoma incidence|increased uterus tumor incidence
absent endometrium|abnormal endometrium morphology
abnormal uterine cervix size|abnormal uterine cervix morphology
small uterine cervix|abnormal uterine cervix size
uterine cervix hypoplasia|small uterine cervix
uterine cervix inflammation|abnormal uterus physiology
uterine cervix inflammation|reproductive system inflammation
abnormal neurohypophysis median eminence morphology|abnormal neurohypophysis morphology
abnormal sperm head morphology|teratozoospermia
detached acrosome|abnormal acrosome morphology
abnormal sperm nucleus morphology|abnormal sperm head morphology
enlarged sperm head|abnormal sperm head morphology
absent sperm head|abnormal sperm head morphology
small sperm head|abnormal sperm head morphology
pinhead sperm|abnormal sperm head morphology
kinked sperm flagellum|abnormal sperm flagellum morphology
coiled sperm flagellum|abnormal sperm flagellum morphology
short sperm flagellum|abnormal sperm flagellum morphology
elongated sperm flagellum|abnormal sperm flagellum morphology
thick sperm flagellum|abnormal sperm flagellum morphology
thin sperm flagellum|abnormal sperm flagellum morphology
hairpin sperm flagellum|abnormal sperm flagellum morphology
abnormal acid-activated cation-mediated receptor currents|abnormal cns synaptic transmission
caudal rachischisis|abnormal neural tube morphology/development
pale spleen|abnormal spleen morphology
meteorism|abnormal digestive system physiology
meteorism|distended abdomen
small caput epididymis|abnormal caput epididymis morphology
enlarged caput epididymis|abnormal caput epididymis morphology
abnormal appendicular skeleton morphology|abnormal skeleton morphology
enlarged endometrial glands|abnormal endometrial gland morphology
absent urinary bladder|abnormal urinary bladder morphology
abnormal sympathetic neuron physiology|abnormal sensory neuron physiology
abnormal sympathetic neuron physiology|abnormal sympathetic nervous system physiology
disorganized pancreatic islets|abnormal pancreatic islet morphology
degranulated pancreatic beta cells|abnormal pancreatic beta cell morphology
enlarged corpus epididymis|abnormal corpus epididymis morphology
dilated seminiferous tubules|abnormal seminiferous tubule morphology
abnormal thymocyte apoptosis|abnormal thymus physiology
abnormal thymocyte apoptosis|abnormal t cell apoptosis
abnormal vestibular saccule duct morphology|abnormal vestibular saccule morphology
abnormal utricle duct morphology|abnormal utricle morphology
abnormal utricle valve morphology|abnormal utricle morphology
absent semicircular canal ampulla|abnormal semicircular canal ampulla morphology
abnormal eyelid fusion|abnormal eyelid development
failure of eyelid fusion|abnormal eyelid fusion
delayed eyelid fusion|abnormal eyelid fusion
abnormal mesendoderm development|abnormal mesoderm development
abnormal mesendoderm development|abnormal endoderm development
abnormal cerebellum fissure morphology|abnormal cerebellar cortex morphology
absent cerebellum fissure|abnormal cerebellum fissure morphology
decreased fat cell size|abnormal fat cell morphology
abnormal guard hair length|abnormal guard hair morphology
increased guard hair length|abnormal guard hair length
decreased guard hair length|abnormal guard hair length
abnormal hair shaft melanin granule shape|abnormal hair shaft melanin granule morphology
buphthalmos|macrophthalmia
bruising|hematoma
ecchymosis|skin hemorrhage
increased brain tumor incidence|increased nervous system tumor incidence
abnormal bone marrow cell physiology|abnormal hematopoietic system physiology
abnormal activated sperm motility|abnormal sperm motility
reduced activated sperm motility|abnormal activated sperm motility
reduced activated sperm motility|asthenozoospermia
abnormal hyperactivated sperm motility|abnormal sperm motility
reduced hyperactivated sperm motility|abnormal hyperactivated sperm motility
reduced hyperactivated sperm motility|asthenozoospermia
decreased gonadal fat pad weight|abnormal gonadal fat pad morphology
abnormal sympathetic neuron innervation pattern|abnormal sympathetic neuron morphology
abnormal sympathetic neuron innervation pattern|abnormal innervation
increased gonadal fat pad weight|abnormal gonadal fat pad morphology
increased abdominal fat pad weight|abnormal abdominal fat pad morphology
decreased abdominal fat pad weight|abnormal abdominal fat pad morphology
increased epididymal fat pad weight|abnormal epididymal fat pad morphology
decreased epididymal fat pad weight|abnormal epididymal fat pad morphology
increased femoral fat pad weight|abnormal femoral fat pad morphology
decreased femoral fat pad weight|abnormal femoral fat pad morphology
increased inguinal fat pad weight|abnormal inguinal fat pad morphology
decreased inguinal fat pad weight|abnormal inguinal fat pad morphology
increased interscapular fat pad weight|abnormal interscapular fat pad morphology
decreased interscapular fat pad weight|abnormal interscapular fat pad morphology
increased mammary fat pad weight|abnormal mammary fat pad morphology
decreased mammary fat pad weight|abnormal mammary fat pad morphology
increased mesenteric fat pad weight|abnormal mesenteric fat pad morphology
decreased mesenteric fat pad weight|abnormal mesenteric fat pad morphology
increased parametrial fat pad weight|abnormal parametrial fat pad morphology
decreased parametrial fat pad weight|abnormal parametrial fat pad morphology
increased renal fat pad weight|abnormal renal fat pad morphology
decreased renal fat pad weight|abnormal renal fat pad morphology
increased retroperitoneal fat pad weight|abnormal retroperitoneal fat pad morphology
decreased retroperitoneal fat pad weight|abnormal retroperitoneal fat pad morphology
increased uterine fat pad weight|abnormal uterine fat pad morphology
decreased uterine fat pad weight|abnormal uterine fat pad morphology
increased adenocarcinoma incidence|increased carcinoma incidence
increased small intestine adenocarcinoma incidence|increased intestinal adenocarcinoma incidence
increased large intestine adenocarcinoma incidence|increased intestinal adenocarcinoma incidence
increased duodenum adenocarcinoma incidence|increased small intestine adenocarcinoma incidence
increased jejunum adenocarcinoma incidence|increased small intestine adenocarcinoma incidence
increased cecum adenocarcinoma incidence|increased large intestine adenocarcinoma incidence
increased colon adenocarcinoma incidence|increased large intestine adenocarcinoma incidence
increased rectum adenocarcinoma incidence|increased large intestine adenocarcinoma incidence
increased anal adenocarcinoma incidence|increased large intestine adenocarcinoma incidence
increased follicular lymphoma incidence|increased b cell derived lymphoma incidence
increased splenic marginal zone lymphoma incidence|increased b cell derived lymphoma incidence
increased small lymphocytic lymphoma incidence|increased b cell derived lymphoma incidence
increased lymphoblastic lymphoma incidence|increased t cell derived lymphoma incidence
increased histiocytic sarcoma incidence|increased sarcoma incidence
increased histiocytic sarcoma incidence|increased lymphoma incidence
increased splenocyte apoptosis|increased apoptosis
increased splenocyte apoptosis|abnormal splenocyte apoptosis
abnormal spleen development|abnormal spleen morphology
absent hippocampal fimbria|abnormal hippocampal fimbria morphology
necrospermia|abnormal gametes
necrospermia|abnormal spermatogenesis
necrospermia|abnormal sperm number
absent maternal crouching|abnormal nursing
abnormal maternal grooming|abnormal maternal nurturing
delayed heart looping|abnormal heart looping
abnormal primitive pit morphology|abnormal primitive streak morphology
abnormal primitive groove morphology|abnormal primitive streak morphology
absent primitive node|abnormal primitive node morphology
abnormal splenocyte morphology|abnormal spleen morphology
abnormal splenocyte physiology|abnormal spleen physiology
abnormal splenocyte physiology|abnormal hematopoietic system physiology
abnormal splenocyte proliferation|abnormal cell proliferation
abnormal splenocyte proliferation|abnormal splenocyte physiology
decreased splenocyte proliferation|abnormal splenocyte proliferation
decreased splenocyte proliferation|decreased cell proliferation
increased splenocyte proliferation|abnormal splenocyte proliferation
increased splenocyte proliferation|increased cell proliferation
abnormal splenocyte number|abnormal splenocyte morphology
increased splenocyte number|abnormal splenocyte number
decreased splenocyte number|abnormal splenocyte number
abnormal splenocyte apoptosis|abnormal apoptosis
abnormal splenocyte apoptosis|abnormal splenocyte physiology
decreased splenocyte apoptosis|decreased apoptosis
decreased splenocyte apoptosis|abnormal splenocyte apoptosis
enlarged gallbladder|abnormal gallbladder morphology
dilated gallbladder|abnormal gallbladder morphology
abnormal ovulation cycle|abnormal female reproductive system physiology
abnormal trabecular bone thickness|abnormal trabecular bone morphology
decreased trabecular bone thickness|abnormal trabecular bone thickness
increased trabecular bone thickness|abnormal trabecular bone thickness
abnormal urine ph|abnormal urine homeostasis
increased urine ph|abnormal urine ph
decreased urine ph|abnormal urine ph
thin hair shaft|abnormal hair shaft morphology
impaired spacing of implantation sites|abnormal embryo implantation
twin decidual capsule|abnormal embryo implantation
emprosthotonos|muscle spasm
emprosthotonos|abnormal involuntary movement
increased liver triglyceride level|abnormal liver triglyceride level
increased liver triglyceride level|increased triglyceride level
decreased liver triglyceride level|abnormal liver triglyceride level
decreased liver triglyceride level|decreased triglyceride level
abnormal seizure response to inducing agent|seizures
environmentally induced seizures|abnormal seizure response to inducing agent
endometrium atrophy|abnormal endometrium morphology
endometrium inflammation|uterus inflammation
abnormal primordial ovarian follicle morphology|abnormal ovarian follicle morphology
abnormal primary ovarian follicle morphology|abnormal ovarian follicle morphology
abnormal secondary ovarian follicle morphology|abnormal ovarian follicle morphology
abnormal mature ovarian follicle morphology|abnormal ovarian follicle morphology
abnormal theca folliculi|abnormal secondary ovarian follicle morphology
abnormal theca interna|abnormal theca folliculi
abnormal theca externa|abnormal theca folliculi
absent theca folliculi|abnormal theca folliculi
abnormal theca cell number|abnormal secondary ovarian follicle morphology
decreased theca cell number|abnormal theca cell number
increased theca cell number|abnormal theca cell number
abnormal cumulus oophorus|impaired granulosa cell differentiation
abnormal cumulus expansion|abnormal ovarian folliculogenesis
absent cumulus expansion|abnormal cumulus expansion
thin zona pellucida|abnormal zona pellucida morphology
abnormal manchette morphology|abnormal spermatid morphology
ectopic manchette|abnormal manchette morphology
abnormal endoplasmic reticulum morphology|abnormal cell morphology
abnormal foot pigmentation|abnormal skin pigmentation
abnormal prostate gland ventral lobe morphology|abnormal prostate gland morphology
abnormal prostate gland dorsolateral lobe morphology|abnormal prostate gland morphology
abnormal cardiac jelly morphology|abnormal heart development
cardiac valve regurgitation|abnormal cardiac valve physiology
abnormal dermal pigmentation|abnormal skin pigmentation
abnormal dermal melanocyte morphology|abnormal melanocyte morphology
abnormal dermal melanocyte morphology|abnormal dermal pigmentation
abnormal epidermal pigmentation|abnormal skin pigmentation
abnormal epidermal melanocyte morphology|abnormal melanocyte morphology
abnormal epidermal melanocyte morphology|abnormal epidermal pigmentation
abnormal extracutaneous pigmentation|pigmentation phenotype
abnormal otic pigmentation|abnormal extracutaneous pigmentation
abnormal leptomeninges pigmentation|abnormal extracutaneous pigmentation
retinal gliosis|abnormal retina morphology
abnormal resting posture|abnormal posture
increased uterine nk cell number|abnormal uterine nk cell morphology
increased uterine nk cell number|increased nk cell number
increased nucleated erythrocyte cell number|abnormal nucleated erythrocyte cell number
small endometrial glands|abnormal endometrial gland morphology
increased trophoblast giant cell number|abnormal trophoblast giant cells
abnormal skeletal muscle fiber size|abnormal skeletal muscle fiber morphology
increased skeletal muscle fiber size|abnormal skeletal muscle fiber size
decreased skeletal muscle fiber size|abnormal skeletal muscle fiber size
increased skeletal muscle fiber diameter|increased skeletal muscle fiber size
decreased skeletal muscle fiber diameter|decreased skeletal muscle fiber size
increased variability of skeletal muscle fiber size|abnormal skeletal muscle fiber size
centrally nucleated skeletal muscle fibers|abnormal skeletal muscle fiber morphology
increased skeletal muscle fiber number|abnormal skeletal muscle fiber morphology
decreased skeletal muscle fiber number|abnormal skeletal muscle fiber morphology
increased skeletal muscle fiber density|abnormal skeletal muscle morphology
decreased skeletal muscle fiber density|abnormal skeletal muscle morphology
abnormal skeletal muscle fiber type ratio|abnormal skeletal muscle morphology
abnormal skeletal muscle satellite cell proliferation|abnormal cell proliferation
abnormal skeletal muscle satellite cell proliferation|abnormal muscle physiology
abnormal skeletal muscle fiber triad morphology|abnormal skeletal muscle fiber morphology
skeletal muscle fiber degeneration|skeletal muscle degeneration
skeletal muscle fiber degeneration|abnormal skeletal muscle fiber morphology
skeletal muscle fiber atrophy|skeletal muscle atrophy
skeletal muscle fiber atrophy|decreased skeletal muscle fiber size
skeletal muscle fiber necrosis|skeletal muscle necrosis
skeletal muscle fiber necrosis|abnormal skeletal muscle fiber morphology
skeletal muscle degeneration|muscle degeneration
skeletal muscle degeneration|abnormal skeletal muscle morphology
cardiac muscle degeneration|muscle degeneration
cardiac muscle degeneration|abnormal cardiac muscle tissue morphology
skeletal muscle atrophy|muscular atrophy
skeletal muscle atrophy|decreased skeletal muscle size
cardiac muscle atrophy|abnormal cardiac muscle tissue morphology
cardiac muscle atrophy|muscular atrophy
skeletal muscle fibrosis|abnormal skeletal muscle morphology
skeletal muscle endomysial fibrosis|skeletal muscle fibrosis
increased gastrocnemius weight|abnormal gastrocnemius weight
decreased gastrocnemius weight|abnormal gastrocnemius weight
increased extensor digitorum longus weight|abnormal extensor digitorum longus weight
decreased extensor digitorum longus weight|abnormal extensor digitorum longus weight
increased soleus weight|abnormal soleus weight
decreased soleus weight|abnormal soleus weight
increased tibialis anterior weight|abnormal tibialis anterior weight
decreased tibialis anterior weight|abnormal tibialis anterior weight
decreased embryo weight|decreased embryo size
increased embryo weight|increased embryo size
decreased fetal weight|decreased fetal size
increased fetal weight|increased fetal size
polyovular ovarian follicle|abnormal ovarian follicle morphology
paraparesis|weakness
abnormal miniature inhibitory postsynaptic currents|abnormal cns synaptic transmission
fragmentation of sleep/wake states|abnormal sleep pattern
arytenoid and cricoid cartilage fusion|abnormal arytenoid cartilage morphology
arytenoid and cricoid cartilage fusion|abnormal cricoid cartilage morphology
cricoid and tracheal cartilage fusion|abnormal cricoid cartilage morphology
cricoid and tracheal cartilage fusion|abnormal tracheal cartilage morphology
increased myeloid sarcoma incidence|increased sarcoma incidence
increased myeloid sarcoma incidence|increased hemolymphoid system tumor incidence
